qos0,qos1,qos2
30859,1600,2047
30512,400,250
30467,50,950
30917,3160,300
30472,490,700
30489,1000,636
30867,3150,114
30632,5250,50
30576,850,100
30703,4500,500
30522,3396,1600
30687,854,600
30477,250,2695
27966,2700,1355
33469,1550,5920
30589,350,1480
30712,100,7151
30490,1750,4549
30722,1250,850
30591,1705,400
30580,3595,600
30706,450,950
30268,1450,1400
30925,100,800
30584,450,1900
30172,300,800
31121,1750,1200
30533,3850,1950
30690,3350,200
30597,250,2200
30853,2981,850
30550,469,1950
29926,1970,850
30811,430,610
31131,450,2140
30214,1350,1873
30415,1800,7527
31073,2600,4026
30555,730,712
21965,3520,150
39534,350,1100
30527,4331,5750
30461,604,1050
30995,1915,1912
28084,550,1673
32047,250,400
21105,250,1502
35863,1700,950
35869,1200,300
30688,6900,858
26790,1150,34
34426,1450,1332
30727,1100,1934
28064,801,250
32846,1099,600
30488,950,450
29994,800,1650
31624,50,200
30657,3350,1150
30538,3400,1650
30549,450,250
30776,100,3850
30705,250,1400
29970,200,5300
31281,350,250
30037,200,3978
30846,100,50
30956,1750,416
30415,900,834
30380,4900,150
30956,2250,160
30501,1907,190
30800,3393,100
30730,4400,200
30544,2250,300
30561,1350,100
30821,3300,100
30573,1100,50
30594,3480,700
30634,770,1800
30619,3800,650
30530,200,1850
30539,6550,400
30784,500,1400
30663,5943,650
30604,6107,1100
30486,750,950
30470,2900,1971
30418,600,929
31048,1700,2050
30705,950,400
30008,400,1650
31059,350,400
30600,1350,450
30590,700,1800
30676,600,1400
30337,2200,600
31175,1950,1100
30267,1800,4050
30681,4150,1500
30314,500,2150
30582,2450,1300
31085,250,550
30580,1600,50
30375,400,150
30462,550,500
30960,550,1000
30423,400,1650
30782,850,50
30684,200,50
30501,850,2070
30472,100,1230
30716,50,2250
30789,2806,100
30472,5194,1350
30584,2300,1628
30735,150,1872
30508,250,1450
30967,100,750
30362,450,650
30818,1068,900
30422,5930,1350
30571,4952,500
30427,2984,400
30832,3666,300
30728,700,1800
30415,2700,450
30875,2700,1350
30396,250,100
30546,692,350
30832,308,400
31140,300,600
24440,1550,300
30742,300,2350
30816,850,100
30478,1150,550
30657,350,3500
31032,200,100
30652,850,4800
30329,550,700
30602,2850,2219
30511,582,631
30415,2418,1300
31179,10305,2600
30820,645,1950
29690,2000,1750
31162,1050,1450
30449,1703,2200
31033,97,1500
30246,2050,1368
30458,1360,2432
30984,690,950
30323,1050,1865
30744,530,485
30827,1920,1800
30395,1300,2400
31078,850,1700
29990,50,950
30919,650,272
30538,350,828
30429,814,2300
30739,3836,4450
30271,150,3800
31290,482,1800
30303,468,2230
30994,7100,3470
29763,1550,800
31472,1200,5170
30471,1450,430
30325,400,4080
30815,450,5920
30832,1200,1584
30262,100,4020
30772,250,150
