QoS 0,QoS 1,QoS 2
28765,25317,14267
32333,9924,14213
29403,11190,14148
32143,7826,13849
34716,12696,14030
52751,19766,13982
28196,15815,13821
29928,25453,13251
24013,23392,13492
7005,24296,13122
26044,26383,14155
42404,25397,10717
54557,26643,14114
32874,25585,14690
30604,25330,12874
30647,26171,14839
30946,22016,14309
27809,25105,9908
33307,24423,14201
30416,25230,13687
25396,26067,13833
35571,25858,14280
19648,25371,11016
41989,26218,7381
30471,25974,7403
30534,25438,11395
4712,25473,14384
32647,25507,8335
37372,14780,9087
30187,21323,11780
22660,25816,12744
11884,21459,13136
25270,21333,12946
60823,20099,8925
30452,23744,11445
29939,21826,13665
2770,23518,13733
55892,25479,13935
24979,23607,13956
37603,26144,13908
32580,25401,14064
30863,21801,13380
30774,24598,13792
24805,21024,13855
36337,24285,14328
26836,25448,14162
33891,24879,11610
29744,25994,14396
30513,25969,13990
30400,24298,14659
30312,25784,14517
29585,25356,14373
31136,25583,14076
32325,23221,14002
31375,27044,18656
28021,24972,17603
33498,25462,15339
15502,26201,15975
24567,19813,14628
51922,25768,14197
30601,25792,14390
30431,26043,15217
30414,24883,15067
30637,21247,14405
28789,22168,14237
1714,25618,14500
27651,25606,14942
64391,25942,14758
30684,24549,14738
30448,21975,14393
31195,25476,12838
30157,24805,14948
27651,25146,14311
34201,23605,14086
25337,25353,13986
8953,26815,13983
30534,23439,14031
30714,27694,14000
30604,28384,14347
30559,27645,14870
30730,27640,14167
30454,24399,14222
30725,15264,14825
30589,20070,14806
30674,27402,14256
30695,28469,14788
30617,28522,14589
30632,28575,15211
29923,27680,14552
31241,28573,14352
29981,28088,13896
27848,27910,14049
32332,27333,13534
32438,27875,14266
30677,28255,14207
30340,22144,12905
30731,25620,6695
30740,27311,6713
30060,27639,6742
30042,27203,7319
26842,28065,12041
31928,28040,13349
34176,23357,14046
27656,27703,14186
25300,21999,14050
25441,24032,12394
23836,23645,14150
30346,27432,13617
7161,27556,14432
1379,28067,14438
30499,23006,14058
30709,21117,13986
30686,9102,14141
30599,4272,14377
30465,11422,14371
30768,23086,13602
30646,26711,11466
30616,27473,10789
9739,27986,7450
50977,29304,9390
31096,24620,14454
29341,25840,11091
31938,25395,13956
30031,23581,14494
29910,25072,13844
21249,25681,14681
28845,23276,14283
23053,25747,14348
28605,26667,14156
33747,26280,13090
48449,23615,3620
30686,25611,3619
31062,23005,14139
31187,23800,14341
30750,15304,14000
17472,19437,14236
64717,20550,13900
40264,17246,14428
30169,11215,13915
30356,13906,14319
31161,22702,14002
30269,23665,14761
29811,24236,14443
31926,22558,14002
30639,28214,14119
30602,27208,7226
29286,28289,2490
25788,27620,4984
31132,27504,5811
36196,26889,13612
30862,27091,14070
30572,28176,14340
28235,28031,14005
32842,27457,14243
30480,27929,14432
30928,27389,14371
30214,28335,13823
23936,24589,14738
37426,27057,12601
30909,27873,14699
23971,28288,14351
36965,27324,12855
30742,27693,14086
30309,27207,14623
20466,27777,14622
40995,20143,12871
31014,25453,13989
28833,25892,14261
31778,25203,14326
30981,25295,14584
30715,23693,14408
30751,25357,11837
30061,25998,14222
31264,25856,15281
30445,25040,14319
30775,25305,11191
30355,25475,10633
30959,25327,14418
30004,14034,14159
31248,12082,12159
30277,10794,15123
11782,15013,11763
34275,24546,14176
31183,24397,13456
30221,24320,14491
30607,21958,13383
30641,26070,14090
28480,26174,17652
32794,25916,16634
30557,25758,13542
30626,24788,13818
29861,25295,15383
31682,24993,14329
30891,24808,14217
30332,25529,14553
30869,25827,12971
29988,25634,13473
22136,26051,13415
39601,25382,14137
30049,25565,14548
24085,22634,13811
37544,25900,15995
30519,24591,11543
27390,26327,11417
17913,25716,9976
43019,24766,10823
34178,24909,6604
26285,25543,5772
54876,24882,7485
41795,24159,7567
30278,23367,9683
25012,21347,13878
36501,25939,13699
30721,24777,12997
30434,23185,12798
18372,26954,14530
22187,25788,14429
21571,19999,13980
17222,15684,13388
29002,25274,12837
59042,22545,14166
46650,25118,14282
31065,17409,14464
30507,25558,14532
30222,24777,13931
30791,25863,14376
30452,21639,13684
19075,26251,17358
,25016,11095
,25832,8038
,25473,14284
,25430,13539
,25413,13525
,25597,13981
,25610,14394
,25655,14418
,22950,14075
,26136,13985
,25863,14015
,22699,14340
,25454,14058
,25560,13830
,25579,12184
,25701,13945
,,14337
,,14247
,,14429
,,11081
,,14318
,,14049
,,14473
,,14558
,,13529
,,14385
,,14088
,,14321
,,14335
,,14685
,,14476
,,13938
,,14244
,,14351
,,12768
,,14257
,,14748
,,14137
,,14564
,,12563
,,14617
,,11731
,,1212
,,2813
,,2296
,,7804
,,8387
,,5744
,,10327
,,9274
,,11724
,,13225
,,13346
,,14654
,,16950
,,15770
,,17367
,,14595
,,14999
,,14527
,,13968
,,14481
,,14198
,,14185
,,14373
,,14398
,,14514
,,13613
,,14548
,,14573
,,13577
,,12543
,,14197
,,14866
,,13360
,,14025
,,14625
,,14546
,,14697
,,12582
,,13562
,,14210
,,14160
,,14013
,,14537
,,14637
,,14430
,,14361
,,13881
,,12736
,,4770
,,10068
,,14471
,,14486
,,5868
,,6221
,,5446
,,8406
,,14098
,,13762
,,13980
,,13916
,,14489
,,14629
,,12792
,,13836
,,14430
,,14240
,,14331
,,12530
,,13593
,,14136
,,14301
,,14062
,,13713
,,13952
,,13170
,,14203
,,14066
,,10082
,,10830
