1-150 ,15-150,30-150,45-150,60-150,75-150,90-150,105-150,120-150,135-150
300,341,2797,6750,9067,12996,12859,15303,17505,15806
300,4011,7178,6750,9087,12612,13553,14910,16631,16116
300,489,1072,6750,8610,12528,12139,15594,18207,17515
300,4376,6039,6750,8916,12096,15812,15597,16088,17933
300,124,3861,6750,9311,11754,11895,15549,17002,17760
300,4390,5798,6750,9209,11599,14043,16131,16876,18545
300,110,11750,6750,8948,10909,13888,15616,17014,18036
300,4500,452,6750,9040,11446,13886,15820,17096,16652
300,4321,7484,6750,8791,11426,13142,14478,17271,19156
300,179,5548,6750,9182,11097,13532,10160,16611,18067
300,1023,468,6750,9002,10999,13992,15953,17453,18403
300,4636,7943,6750,8791,11463,12536,15782,16863,16563
300,1091,9007,6750,9077,11259,13353,16236,17099,19111
300,4500,600,6750,8922,11194,13642,16953,11851,16785
300,4500,5508,6750,9084,11527,14037,15918,17350,17443
300,4341,7983,6750,9017,11261,13715,16732,14174,17006
300,159,459,6750,9006,10964,13362,17149,18157,17038
300,4207,5860,6750,8933,11260,14267,16617,16900,17564
300,293,7190,6750,8964,11288,12601,16262,17033,18831
300,4500,450,6750,8808,11027,11950,16159,17298,17629
300,4500,7064,6750,9265,11471,15006,16602,16707,17609
300,4247,5972,6750,9022,11289,13203,16502,17383,17159
300,253,464,6750,9057,11294,12996,16683,15875,18247
300,4500,6271,6100,8987,11319,10533,15999,17204,18886
300,4334,2579,7400,9059,11096,15676,15788,16013,18597
300,166,6921,6750,8544,11246,13960,16003,16675,17406
300,4500,6262,6750,9279,11364,13488,16649,16625,16886
300,4298,4440,6750,8994,11285,11727,16128,16763,17923
300,202,527,6750,8813,11369,16501,16280,16700,15315
300,4500,6607,6750,9171,10114,13302,16084,17190,15712
300,3950,2393,6750,9105,542,13144,16034,17349,17310
300,550,6274,6750,8981,3895,14609,15710,16905,16801
300,4500,6671,6750,9017,17216,13682,16265,17200,16460
300,3948,555,6750,8923,17065,12342,15788,16966,16038
300,2802,7626,6750,9073,15937,14410,15440,17002,15358
,3669,1374,6750,9134,12970,10498,15500,17222,16987
,831,7572,6750,8771,11959,16256,15672,16850,16275
,4337,5457,6750,9190,11258,11239,15517,17320,16229
,163,471,6750,7415,11343,14968,15841,16104,17013
,4276,5747,6750,6301,11241,11677,15703,17940,17242
,224,3103,6750,5360,11275,15138,15767,17051,16633
,4350,7761,6750,6572,11287,13971,15991,16823,16927
,150,1389,6750,12235,11220,13055,15830,16822,18228
,4500,6553,6750,12390,11109,10395,15672,16996,18361
,4378,2447,6750,10463,11368,12235,15240,17150,18592
,122,7413,6750,9774,11457,15416,16521,17013,15521
,4500,5583,6750,10087,11219,14768,16131,16800,17254
,,504,6750,8882,10877,13787,15489,16921,16387
,,7935,6750,9400,11441,14191,16393,16913,16941
,,915,6750,8848,10863,13889,15208,16983,17814
,,5788,6750,9232,11586,14086,15512,16986,15498
,,7361,6750,9005,11929,13114,15702,17030,16389
,,501,6750,8951,10707,13509,15644,17193,17049
,,6586,6750,8966,11365,13852,15648,16716,16539
,,2264,6750,8337,10947,13287,16067,17267,16531
,,7265,6750,9694,11502,13562,15555,17094,16760
,,1885,6750,8654,11028,13931,15808,17368,16831
,,7271,6750,9036,11387,12975,15523,17700,16775
,,1729,6750,9341,11367,13417,16294,17174,18561
,,6193,6750,8993,11193,13776,15552,16000,17037
,,6723,6750,8838,11049,13122,15481,17496,16858
,,584,6750,8920,11300,12983,15436,16549,16473
,,7162,6750,9020,11284,14277,16155,16483,17165
,,5856,6750,9090,11412,13271,16019,16888,17019
,,482,6750,6981,11153,13677,15530,16750,17125
,,7616,6750,10378,11091,13044,15620,16855,17162
,,5373,6750,9766,11428,13596,15676,16790,16663
,,511,6750,8978,11343,13420,15161,17030,17278
,,6832,6750,8716,11278,13685,15243,16704,16715
,,6175,6750,8035,11086,14180,15880,16580,16584
,,493,6750,10320,11696,13221,15547,16931,16602
,,7855,6750,8822,10917,12704,15974,16967,16765
,,1145,6750,8763,11285,13690,15328,16937,17032
,,6841,6750,9228,10965,13745,15703,17290,16706
,,2159,6750,9274,11401,13957,15765,17314,17214
,,7441,6750,8855,11383,13354,15634,16964,17300
,,10109,6750,9145,11264,12463,15651,17015,11554
,,450,6750,9000,11098,13991,15870,17551,16994
,,5955,6750,9000,11362,14105,15167,17191,15643
