500-1,500-50,500-100,500-150,500-200,500-250,500-300,500-350,500-400,500-450
1000,25102,48624,77945,84700,91049,86007,83512,85930,82110
1000,25046,52738,70083,85564,86745,84837,79816,83723,91332
1000,24959,48458,77808,85434,89572,85982,83290,83805,82492
1000,24784,49779,79049,86409,90744,80635,84207,84305,87059
1000,25260,53466,73783,86590,88603,85012,81033,86210,82779
1000,24595,48695,73718,82998,81465,89940,77032,83238,87181
1000,25271,49141,74629,82764,93088,80031,79163,86553,86363
1000,25123,49321,71991,85085,85442,86906,81167,85101,84727
1000,24901,47556,75685,85028,83154,79641,82976,85097,79881
1000,24953,52607,71792,84397,85285,88968,83473,83326,89925
1000,25127,44184,79398,87162,80110,83588,79866,88256,91847
1000,24745,55692,77651,84676,80260,81142,80887,87506,86154
1000,25236,51907,76429,85861,97410,72735,80267,88008,89662
1000,25043,48843,73615,86318,86631,86688,78315,78397,92002
1000,24790,48153,74037,86735,62900,83623,79904,61003,87075
1000,25167,51232,75935,86639,77708,85470,81274,51628,89132
1000,25081,48243,75340,85555,66637,78573,81767,82447,87246
1000,24921,50166,71654,89113,88831,87165,78793,42393,89458
1000,25002,52940,76889,86722,128142,89720,83024,71761,87021
500,24647,45538,78057,86509,99689,82968,82117,95271,86433
1000,25349,53580,69506,78773,55801,87971,80439,67416,83015
1000,25060,49700,75723,85040,96219,83780,82749,36213,85424
1000,24650,48730,76756,85736,91971,76729,81169,67605,80891
1000,25299,50394,76520,84393,118741,87939,79386,79200,88462
1000,25007,52128,74624,83835,90472,83090,84212,112103,90198
500,25115,47121,65507,80512,81445,86126,84363,98352,84968
500,24877,52335,82997,83098,88736,81541,85139,55124,83576
1000,24992,47945,76343,84616,92107,86574,85572,70597,91525
1000,25013,51912,75347,86624,84352,84841,88576,64510,87442
1000,24941,47533,73728,88840,86132,82297,85251,54386,91070
1000,25054,52672,77106,83094,86488,85035,87323,59196,84996
1000,24877,46798,73347,89552,93547,87644,81444,104456,88462
1000,25177,52140,26101,84356,86126,80907,81448,69533,87062
1000,24938,53051,29540,88754,89346,83109,85353,113072,90539
1000,24907,45290,26466,86587,82394,78912,85954,93953,80654
1000,25099,51352,43746,86399,84029,89256,83785,68172,92569
1000,25068,48524,81150,88423,91453,82163,85102,88938,86604
1000,25092,51136,87100,85891,89489,82648,78089,116773,89908
1000,24834,50716,87545,84924,86214,86764,86715,101378,86913
1000,25013,49115,86445,87893,87081,85167,84026,111383,85865
1000,24970,53167,89807,85412,79994,86193,85669,42894,94203
1000,25017,47741,89912,84883,104572,82889,77628,32694,81648
1000,25014,50159,87413,85725,63449,84788,82151,25548,92328
1000,24986,48722,79990,85893,99962,75469,80682,30254,91711
1000,25000,50015,55102,82764,82206,89759,84653,76157,86381
1000,25032,50423,79152,88456,87184,80891,77428,84770,87910
,24795,48813,94069,86623,90011,86691,81655,86171,91264
,24932,49583,82683,86616,87160,85357,82817,77323,87488
,25241,50874,89591,86582,78398,80429,82686,80126,87819
,25000,48901,82689,89719,82640,79999,83133,,86274
,25015,50335,87605,87318,82814,77777,80287,,86107
,24985,49428,85441,88219,82430,77365,81984,,86793
,25014,53050,79358,88240,72057,65278,80717,,87730
,24952,50112,86880,85196,83187,79885,88077,,89464
,25143,49403,80653,88600,82045,80392,74667,,90594
,24891,52090,79976,90722,80860,77870,86862,,79181
,25398,48765,75413,83401,80413,82460,81139,,90531
,24616,47948,75333,89667,82228,85585,77806,,88579
,24986,51747,75159,87940,74364,80332,79979,,88390
,25053,46881,74118,88162,87728,81507,81316,,89146
,24861,52563,73055,89732,81095,84891,86735,,92132
,9586,48745,77564,89755,84006,80045,80251,,89825
,24023,53690,77297,88339,85376,84028,81525,,89229
,41481,45409,73797,87956,76279,81370,86290,,88479
,25064,52302,73172,88247,66004,82586,86044,,85530
,24960,49089,76048,83785,78446,75551,81773,,88850
,25002,51837,76029,79602,78163,82338,84298,,81557
,,47524,68803,84955,78719,81102,83243,,82710
,,52623,81289,84514,82463,83736,81840,,82394
,,50341,69953,84740,82092,82187,78854,,90814
,,49844,77050,85321,85969,83266,92602,,84022
,,49470,76139,85278,84836,85225,82103,,91683
