1-500,50-500,100-500,150-500,200-500,250-500,300-500,350-500,400-500,450-500,500-500
475,25088,35378,53153,78825,79007,74448,78514,86742,88071,87576
520,24982,36300,55448,77999,81742,78853,73708,87981,85787,82760
481,25016,29361,56425,76538,83158,75092,70412,87192,91013,88212
522,24942,71102,57471,72715,83602,80528,71283,87861,85585,87646
501,25108,76635,59505,77749,84992,75507,64074,88503,84143,86933
501,24900,63651,61349,75687,83113,79436,77339,82881,89107,92278
500,25050,53179,61850,76574,84329,77551,73363,97082,91037,85643
500,25000,51578,65890,86602,83980,80278,71363,86430,82716,90085
501,25045,50242,65048,84180,84795,71113,72479,87433,92021,88857
498,24951,50181,63093,83947,79001,75243,68601,88926,89382,88928
501,25041,49586,71901,81902,88604,84733,72521,90640,87907,91249
500,24989,50296,69624,84609,77923,75854,74938,86992,88730,89163
499,24892,49563,71574,82040,76267,75566,71242,86485,88518,90577
500,25084,49718,69742,82508,75968,69893,72496,88099,88583,91516
500,24881,50519,71942,81565,81958,72267,77551,86914,90175,90298
500,25083,50144,75724,73404,86926,69065,77033,87681,77732,86997
501,25000,50056,78432,84440,81468,62119,75999,91257,87989,87266
500,24834,50198,74018,85106,84808,71447,75300,82339,87366,88333
499,25150,50002,60196,82752,77840,75899,67798,86765,87493,89357
501,25016,50000,85354,84722,80305,83008,77231,88215,85313,84205
500,25061,50226,78978,86886,78496,74967,75571,83331,91595,89216
500,24973,49567,76622,90049,84739,66783,71369,84202,86902,84487
500,25000,49649,76766,79885,74647,60348,75240,87549,92008,79548
500,24592,50130,63782,82492,84945,67769,71642,87412,87072,82587
499,25309,50246,68400,84896,82739,72459,70291,87519,87908,87492
502,25100,49918,85408,82444,80903,62651,78361,89604,85230,80209
495,24964,49468,77243,82143,84166,64606,75128,88262,88939,85272
503,25040,50323,78194,82624,93891,71833,75003,86781,87925,90326
499,24995,50098,75927,84466,82938,74787,77077,88831,86155,85825
502,24999,49878,69489,88515,80977,75856,68974,87783,89771,93111
499,25011,50083,80111,79302,73677,76933,74682,87625,87328,86433
501,24790,49713,70819,82820,81401,71049,70163,89063,86493,87709
500,25109,50401,79163,85897,85948,76331,72142,86479,88818,87466
497,25086,49814,75413,81033,81544,76583,70098,86700,87779,84335
502,,50135,73343,82128,82147,79992,67937,88835,89365,90786
500,,49957,76037,82133,83130,79453,64926,87028,88703,87285
501,,50194,75859,82499,86162,80860,68653,94903,87103,88659
500,,49927,73349,89715,83481,81271,69335,87800,87891,88834
499,,50108,74015,87699,87234,85534,70337,90498,88044,84845
499,,48271,73224,82254,84431,86015,63290,88056,86977,85692
501,,50539,76825,96312,84994,82442,68998,88116,88544,87543
501,,50898,74555,85130,88265,84393,66547,89541,87016,84670
500,,50023,79070,90989,83101,86343,70247,87791,86011,93546
501,,50103,65438,87194,84588,82366,65304,87893,88290,88844
499,,49971,81428,89531,88129,83870,68960,87319,87866,88425
500,,50181,76092,94332,84753,84457,70410,89827,85653,87003
501,,49679,72619,,86373,85793,62651,89766,87572,88673
499,,50100,75411,,77287,79363,69437,87397,85462,87675
501,,50000,77141,,79227,81995,71210,88091,91475,88360
498,,50011,75421,,82192,78794,73937,86154,87490,88582
500,,50353,75608,,83108,74384,70894,92142,89543,86575
500,,48747,68804,,80213,78617,71528,88136,86430,84802
500,,50789,,,83587,72058,68430,83733,87938,91414
501,,35600,,,81455,83234,65608,86655,87971,90314
498,,,,,80987,87029,70188,86991,83578,89862
502,,,,,79916,79377,71324,89092,88327,89742
498,,,,,81977,83885,71525,91878,83761,86158
502,,,,,85077,82252,71926,86531,87430,84674
499,,,,,79503,83920,64456,91957,86224,85707
500,,,,,82618,84573,70914,88331,83419,91270
502,,,,,82934,75572,66474,85955,64646,87753
499,,,,,77284,73249,67990,86997,87964,88689
499,,,,,83005,86032,70174,87673,87833,83428
501,,,,,79970,81273,75237,88497,88726,87015
499,,,,,85550,80409,71876,47595,88362,87999
502,,,,,82693,72728,74727,27431,37813,87623
498,,,,,81320,77585,66861,32673,29958,87277
501,,,,,73921,73454,71713,27454,28863,80503
499,,,,,84668,74614,68900,74501,30607,92729
500,,,,,82551,68258,,93888,88043,87385
500,,,,,83001,71921,,55766,90790,88514
501,,,,,76662,73614,,75501,89673,73083
500,,,,,88298,71645,,50546,86761,97165
501,,,,,83333,74909,,86029,89158,87367
500,,,,,84766,75627,,86360,55154,87837
499,,,,,78917,72912,,85239,77753,90858
499,,,,,10427,79591,,84776,85377,83234
501,,,,,,,,87867,89120,86974
500,,,,,,,,89702,93121,96435
500,,,,,,,,83858,84858,87991
500,,,,,,,,86221,88631,86563
501,,,,,,,,89469,85329,86425
487,,,,,,,,87380,86817,85465
512,,,,,,,,88385,87973,90178
499,,,,,,,,85415,89256,89628
500,,,,,,,,81744,,92875
501,,,,,,,,87286,,87080
498,,,,,,,,85367,,87688
502,,,,,,,,88965,,80289
500,,,,,,,,88478,,83715
500,,,,,,,,83433,,82060
499,,,,,,,,87741,,85068
500,,,,,,,,89325,,82361
501,,,,,,,,86024,,78311
500,,,,,,,,87162,,82066
500,,,,,,,,86956,,90501
500,,,,,,,,87197,,82783
499,,,,,,,,,,89485
500,,,,,,,,,,84138
501,,,,,,,,,,86119
500,,,,,,,,,,87061
501,,,,,,,,,,81273
500,,,,,,,,,,
499,,,,,,,,,,
501,,,,,,,,,,
498,,,,,,,,,,
501,,,,,,,,,,
500,,,,,,,,,,
499,,,,,,,,,,
500,,,,,,,,,,
