1-150 ,15-150,30-150,45-150,60-150,75-150,90-150,105-150,120-150,135-150,150-150
150,2237,4500,6750,8888,11500,13695,14422,13796,17678,5567
150,2265,4476,6750,9021,10882,13428,14341,15416,15977,11753
148,2220,4524,6750,8828,3458,13415,14330,14652,14619,14895
150,2266,4468,6750,9201,7404,13919,14971,15531,16784,15247
152,2264,4472,6750,9049,13222,13497,14882,14820,17460,9552
150,2230,4535,6750,8927,13178,13487,14506,14909,16850,15700
150,2255,4541,6750,8901,12384,13336,14443,15676,17220,14989
150,2245,4451,6750,9106,12733,13766,14918,15117,16605,14307
150,2243,4424,6723,8986,12853,13221,14392,14967,13398,14877
150,2262,4580,6777,8968,12845,13510,14661,15406,14290,15414
150,2250,4529,6750,9210,12941,13299,14757,15239,14243,14385
150,2235,4500,6750,8839,12256,13451,14732,14985,8663,14012
150,2263,4500,6726,9008,12372,13919,14534,16015,8824,14201
150,2238,4505,6712,8817,12470,13270,14598,15631,7318,14260
148,2266,4118,6812,9070,11853,13024,14437,15035,16608,14199
152,2234,4863,6711,9030,11657,13814,14232,14728,16537,14092
150,2270,4459,6789,9099,10819,13509,11839,14450,16453,14569
150,2259,4538,6750,8894,11477,13876,13797,14706,15719,14295
150,2234,4457,6705,9110,11224,13181,14974,16168,17238,15282
150,2240,4556,6795,8802,11258,13743,14979,14957,16467,14059
150,2264,4484,6750,9127,11257,13619,14396,15178,16476,13459
150,2247,4520,6749,9054,10929,13253,14680,15258,16784,15158
150,2260,4524,6731,8841,11903,13766,14495,15010,17662,13800
150,2229,4482,6770,9017,11151,13674,14641,15326,16431,14787
150,2257,4497,6750,9146,11140,13714,14284,15560,18217,14231
150,2269,4497,6750,8900,11226,13578,15051,15186,17235,767
150,2244,4440,6750,8836,10827,13566,14147,15500,16639,24
150,2251,4590,6750,9300,11397,10198,14804,15399,15368,55
150,2227,4467,6750,8865,10979,13293,14940,14517,17996,39
150,2263,4473,6750,9201,10057,12993,15042,15330,16487,40
150,2264,4496,6693,8713,12551,13739,14626,12695,15637,63
150,2214,4534,6762,8920,11305,12950,14728,14634,16390,23
148,2259,4470,6779,9375,11494,13669,11282,15259,15313,48
150,2274,4519,6680,8727,11143,13824,15998,15198,15408,25
152,2239,4512,6746,9159,10994,13442,14702,15518,14528,19
150,2250,4473,6840,9009,11715,12760,12476,15098,15679,52
150,2250,4527,6750,8901,11386,12835,15225,15238,16462,26
148,2250,4469,6750,9096,10924,13178,14495,14995,15154,63
152,2265,4530,6750,9061,11357,13221,14255,15793,16411,30
150,2250,4476,6750,8526,11068,13802,12544,14865,16328,30
150,2235,4503,6737,9415,11268,13023,11299,15304,15862,66
147,2236,4501,6738,8850,11158,12993,11079,14505,15407,43
153,2265,4531,6685,9127,11250,13933,14374,14697,16396,27
150,2264,4506,6840,9075,11184,13587,14300,14822,15852,14
150,2220,4453,6750,8936,11422,13642,14625,15208,16605,73
149,2268,4560,6726,8683,11353,13570,14835,15365,16359,367
151,2247,4470,6772,9094,11416,13626,14446,15078,15643,1511
151,2265,4487,6752,9008,11088,13617,14628,14738,15450,2020
149,2249,4514,6750,8870,11279,13638,14238,14866,15082,17377
150,2232,4499,6750,9101,11347,13277,13603,15211,16431,17183
148,2239,4486,6739,9203,11237,13619,10585,14885,15780,17733
152,2265,4484,6738,8932,10745,13075,13072,15141,16160,17094
150,2244,4528,6773,8965,11763,13327,14583,14040,16094,17644
150,2262,4502,6750,8537,10791,13725,14147,14239,16158,17438
150,2241,4500,6713,9191,11494,13492,14526,14778,16617,18409
150,2268,4516,6697,9062,11534,13648,14110,14607,16366,16815
150,2223,4456,6832,9187,11384,13327,13784,15196,15692,17176
150,2249,4528,6758,8896,10964,13331,12787,14334,15754,17200
,2215,4500,6750,9247,11070,13069,14797,13204,15317,16810
,2284,4500,6750,8709,11190,12723,13842,15036,15423,17014
,2264,4501,6737,9134,11451,13209,,14275,,16988
,2257,4487,6763,9153,11238,13578,,13101,,17122
,2230,4513,6683,8868,10704,13497,,15453,,17408
,2250,4496,6817,9235,11247,13466,,14916,,17093
,2278,4533,6695,8752,11901,13389,,10203,,17499
,2175,4470,6805,9169,10936,13352,,12614,,16788
,1836,4511,6714,9008,11236,13155,,15429,,17556
,2802,4429,6786,9065,11225,13363,,15408,,18134
,2256,4570,6741,8836,11750,13388,,13480,,17604
,2271,4490,6759,9122,11281,13599,,15334,,17132
,2222,4530,6750,8947,11086,13235,,13445,,18298
,2254,4446,6735,9079,10653,13515,,13846,,17063
,2259,4527,6765,8951,11325,13101,,1794,,16002
,2262,4497,6750,8872,11969,13022,,,,15968
,2251,4440,6750,8888,11296,13544,,,,15273
,2222,4560,6750,9119,10614,,,,,15514
,2265,4446,6708,9121,11492,,,,,15722
,2235,4537,6791,8998,11321,,,,,15072
,2267,4501,6751,8863,11288,,,,,14975
,2248,4494,6677,8847,11470,,,,,14841
,2235,,6823,9297,11096,,,,,14483
,2267,,6750,8857,11214,,,,,13905
,2244,,6750,8855,11003,,,,,14098
,2261,,6750,9060,11017,,,,,13681
,2228,,6688,8940,11616,,,,,14103
,2265,,6812,9159,11498,,,,,13870
,2250,,6750,8870,10964,,,,,13899
,2244,,2430,9204,11236,,,,,13682
,2256,,,9029,11491,,,,,13591
,2263,,,8997,11384,,,,,13788
,2252,,,8784,11302,,,,,13644
,2237,,,,11116,,,,,13592
,2248,,,,10626,,,,,14246
,2235,,,,11627,,,,,14869
,2253,,,,,,,,,14635
,2271,,,,,,,,,13404
,2241,,,,,,,,,
,2252,,,,,,,,,
,2263,,,,,,,,,
,2235,,,,,,,,,
,2265,,,,,,,,,
,2248,,,,,,,,,
