Run 1,Run2 ,Run3
30909,28014,32562
31584,30349,25780
30939,31815,19907
31426,32786,36086
30267,31395,34256
31059,30314,32602
32267,32159,33640
31496,31332,33941
30188,25846,34022
29667,20736,30665
30850,30469,32307
30598,32719,32631
32522,34048,31942
28763,30932,23870
27335,31783,34095
30082,31645,29062
29901,27969,30106
30969,30922,32204
31361,30289,30868
30740,31208,31458
31122,31723,30475
31867,34895,32545
30532,31774,29876
30705,31326,31369
32033,30538,27641
29202,31842,29816
32326,30958,30249
29030,35042,28120
31442,30552,28506
31322,28343,24531
27621,31383,32423
27981,30748,29677
19280,31333,32737
13362,29150,30141
11849,27498,34898
12386,12407,30582
30780,10916,29790
34579,10347,28535
32218,17560,33175
32228,34932,30012
35545,32606,30911
32762,35693,29704
35318,35196,12725
30037,31950,12041
35448,34239,9484
30379,32128,14689
28351,31333,36085
31975,34718,38332
34231,29896,33530
33474,29324,37108
34198,27201,36181
31115,31130,35794
32864,29974,37250
31143,34351,35945
32602,34496,32395
32824,31634,35375
33937,30867,33676
33100,33866,33377
31066,32548,30200
30954,32200,32433
32277,31175,30977
30953,28240,24471
30330,29916,32160
31827,35345,36358
32529,25949,30844
31727,28233,32869
30427,24152,32125
32450,31983,31515
32576,32032,33351
28954,35001,33605
30016,30602,31942
31229,31101,31041
30962,30978,30732
34391,32244,29188
30109,30409,34632
33220,34841,34283
30732,29248,30876
27153,30527,25507
28388,34869,28089
31491,28945,33177
30301,25751,30682
30623,28501,28599
27702,31871,31915
,31857,13223
,35968,
,30155,
,35261,
,33750,
,30042,
,28751,
,11632,
