Run1,Run2,Run3
30859,30337,30106
30512,31175,31133
30467,30267,30548
30917,30681,30791
30472,30314,29952
30489,30582,29956
30867,31085,31992
30632,30580,30564
30576,30375,30599
30703,30462,30548
30522,30960,30459
30687,30423,31065
30477,30782,30250
27966,30684,30660
33469,30501,30466
30589,30472,30951
30712,30716,29973
30490,30789,30981
30722,30472,30579
30591,30584,30946
30580,30735,30252
30706,30508,30686
30268,30967,30181
30925,30362,29785
30584,30818,31772
30172,30422,30945
31121,30571,30602
30533,30427,29825
30690,30832,31301
30597,30728,30464
30853,30415,30589
30550,30875,25717
29926,30396,30528
30811,30546,29916
31131,30832,31395
30214,31140,30188
30415,24440,30703
31073,30742,30242
30555,30816,30779
21965,30478,30712
39534,30657,30351
30527,31032,31424
30461,30652,30242
30995,30329,30626
28084,30602,30602
32047,30511,30537
21105,30415,30562
35863,31179,30905
35869,30820,30626
30688,29690,30542
26790,31162,30743
34426,30449,30611
30727,31033,30625
28064,30246,30180
32846,30458,30297
30488,30984,31223
29994,30323,30900
31624,30744,30760
30657,30827,29805
30538,30395,30529
30549,31078,31410
30776,29990,30386
30705,30919,30521
29970,30538,30808
31281,30429,30761
30037,30739,30508
30846,30271,30501
30956,31290,30938
30415,30303,30437
30380,30994,30482
30956,29763,30596
30501,31472,30978
30800,30471,29686
30730,30325,30915
30544,30815,30809
30561,30832,30944
30821,30262,30249
30573,30772,30642
30594,30210,30605
30634,30989,30834
30619,30546,30409
30530,30818,30916
30539,30258,30471
30784,28410,30855
30663,32809,30020
30604,30840,30966
30486,30847,30015
30470,30830,30789
30418,30275,30986
31048,30770,30747
30705,30288,30624
30008,30685,31011
31059,30639,30022
30600,30629,31224
30590,30571,
30676,30422,
,30782,
,30311,
,30746,
,31077,
,30456,
,30264,
,31175,
,30665,
,30249,
,31278,
,29719,
,30794,
