1-175,40-175,55-175,70-175,85-175,100-175,115-175,130-175,145-175,160-175
175,5891,9625,12188,15618,16938,20908,23920,22273,19114
175,8024,9625,12312,14884,18383,20075,21414,38607,20525
175,7298,8225,12250,14874,16617,20037,15943,25819,21753
175,7777,7212,12250,8918,18251,20028,8617,25003,23765
175,7001,5090,12217,20853,17099,20236,39048,25539,25595
175,7001,17973,12283,14847,17867,19297,28494,24916,26542
175,6998,9625,12016,14901,16608,21031,22257,8993,27781
175,7109,9339,12484,8369,18316,3936,23130,22375,28347
175,6891,7032,12250,20508,1838,35919,22390,38534,28207
175,7000,11394,12250,15793,15456,20764,23243,29741,27596
175,7000,10593,11725,11184,10125,19610,21654,3358,27943
175,7000,9767,12775,18137,294,20649,23615,33789,28630
175,7000,9625,12250,14963,10992,19800,21518,36738,27590
175,7032,9625,12250,14620,8133,20221,24246,29462,27796
175,6968,9625,12250,15478,39125,20075,21142,25900,28123
175,7079,9625,12250,14813,33893,19190,22559,25453,28064
175,6921,9625,12250,14885,30824,19820,23873,24409,28161
175,7002,9625,11821,14870,8228,8713,23137,26479,27809
175,6998,9625,12679,13676,25617,30341,21027,24466,27861
175,7000,9625,12250,16098,31116,22515,18981,26169,28123
175,7003,9625,12250,14830,28191,20043,28204,25062,28355
175,6997,9100,12250,13753,15465,20413,21645,24949,27667
175,7000,10150,11900,15997,21989,11068,23014,26091,17254
175,7002,5425,6993,14930,11718,29132,23369,24910,15284
175,5948,13825,17857,14763,7239,18993,5749,25950,19458
175,8050,9625,12250,14941,26367,21191,21273,24860,31015
175,7000,9674,12250,14881,30488,18899,37732,25331,39720
175,6216,9576,11550,14917,16584,20921,24972,25842,28755
175,6734,9625,12950,14866,15408,15970,24453,25403,29353
175,8053,9625,11550,14847,24305,24464,21437,25033,28495
175,7123,9625,12950,14776,17643,18000,24273,25785,27978
175,6874,9625,12250,14975,17199,14669,21173,24567,27988
175,7000,9625,12250,14789,18356,28125,3126,26092,28016
175,7000,8712,12250,14992,17759,19505,42159,24850,27883
175,7000,10538,12250,14533,5180,20435,6376,25943,28085
175,7000,9625,12075,14640,28919,20319,36973,24295,28283
175,7000,9630,12425,15163,18126,19876,26003,26389,27968
175,7000,9620,11725,15128,17180,20313,13638,25164,27736
175,7000,9294,12775,9609,17500,19894,17525,25646,28172
175,7000,9956,11550,19600,17865,20357,37698,24630,27783
175,7000,9275,12950,13961,16789,19280,21874,25761,28433
175,7005,10010,12250,16314,18194,21023,23355,24965,27841
175,6995,9590,12250,13997,17635,17879,21173,25546,27828
175,4984,9625,12250,15793,5117,17396,13025,25691,28063
175,2684,9100,12250,14739,20078,21004,23460,24245,27685
175,13301,7875,12250,14971,24518,19768,22213,25474,28353
175,7031,4136,9535,14260,20297,20302,23162,8428,27878
175,7000,17389,14588,15490,11932,18683,22944,21862,28012
175,7000,9625,12627,14350,16699,20488,22867,37381,28098
175,7000,9100,12250,10144,23710,21283,22292,33507,27847
175,7000,7934,12250,18706,12792,20036,22897,700,28218
175,7000,11841,12015,7375,22200,19806,12526,28172,27987
175,7002,8323,12485,23197,7639,20481,21877,38930,27932
175,6999,10402,10675,15493,26510,12451,34023,35243,28087
175,5949,10150,13825,14860,17973,28499,21766,24236,28051
175,8050,9625,12163,14273,18054,16139,23141,26707,28213
175,7000,9625,12337,15506,17292,14605,20913,24594,27662
175,7000,9625,12250,14843,5131,27894,25220,9512,28073
175,7000,9625,12250,14878,952,21297,21764,29308,27924
175,7000,9625,12250,14892,2759,19542,22557,37940,28125
175,7116,9625,12250,14921,20237,20139,23145,25167,27909
175,6889,9625,12250,14847,39583,20503,15719,24516,27971
175,5945,9625,12250,14880,25387,18313,22928,350,27899
175,8050,9625,11200,9060,27632,22112,30437,38860,28047
175,7175,7350,,13964,18564,19036,22598,38046,27799
175,6829,2616,,21561,6759,21039,22730,,28292
175,6996,18559,,14875,27572,20246,23014,,28197
175,4541,9975,,14875,7021,19914,21618,,27926
175,9459,9625,,14909,27584,20194,23696,,27879
175,7000,9625,,14804,16991,20308,21952,,27964
175,7000,9625,,14946,7334,19530,,,27958
175,7000,9625,,8716,13359,20865,,,27947
175,7000,9625,,17676,32403,19433,,,27956
175,6673,9625,,18201,5863,20510,,,28049
175,7329,9625,,14874,15230,20112,,,27917
175,7097,9625,,14871,30696,20547,,,28046
175,7016,9625,,14886,6924,19730,,,28212
175,6885,9625,,14891,19946,20137,,,27839
175,7017,9625,,14868,26348,19440,,,28170
175,6983,9625,,9783,17581,,,,28021
175,7002,9625,,11057,18245,,,,27740
175,6998,9625,,23709,5730,,,,28089
175,7004,9625,,14940,22814,,,,
175,6217,9625,,14849,23773,,,,
175,7779,9625,,14952,,,,,
175,7004,9625,,14690,,,,,
175,6996,9625,,15030,,,,,
175,6083,9625,,14871,,,,,
175,7917,9625,,14885,,,,,
175,7000,9625,,14860,,,,,
143,7000,9625,,14873,,,,,
207,7000,9625,,14877,,,,,
175,7000,9625,,14857,,,,,
175,7171,9625,,8925,,,,,
175,6832,9625,,20659,,,,,
175,6997,9625,,12591,,,,,
175,7002,8925,,,,,,,
175,7146,10325,,,,,,,
175,7027,9625,,,,,,,
175,6825,9625,,,,,,,
175,7002,9625,,,,,,,
175,6998,9625,,,,,,,
175,7000,9450,,,,,,,
175,7000,9800,,,,,,,
175,7001,9625,,,,,,,
175,6999,,,,,,,,
175,7000,,,,,,,,
175,7000,,,,,,,,
175,7000,,,,,,,,
175,5950,,,,,,,,
175,8050,,,,,,,,
175,7002,,,,,,,,
175,7063,,,,,,,,
175,6937,,,,,,,,
175,6998,,,,,,,,
175,7066,,,,,,,,
175,6817,,,,,,,,
175,7151,,,,,,,,
175,6979,,,,,,,,
175,7045,,,,,,,,
175,6942,,,,,,,,
175,7011,,,,,,,,
175,6989,,,,,,,,
175,7002,,,,,,,,
175,6998,,,,,,,,
175,7000,,,,,,,,
175,7000,,,,,,,,
175,7042,,,,,,,,
