1-175,40-175,55-175,70-175,85-175,100-175,115-175,130-175,145-175,160-175,175-175
175,6995,9620,12387,14875,17671,19743,22662,25573,26867,32587
175,7018,9624,12202,14869,17557,20536,22566,25223,29116,30480
175,6985,9645,12298,14875,17477,20130,22983,25261,27930,30758
176,6998,9606,12201,14875,17448,20169,22861,25499,28034,30611
174,7024,9624,12238,14877,17574,19743,22628,25509,27810,30478
175,6975,9625,12291,14877,17514,20576,22838,25301,28018,30815
175,7037,9625,12132,14880,17458,19545,22607,25584,27936,30698
175,6963,9625,12323,14866,17406,20417,22934,25282,28160,30330
175,7020,9625,12324,14903,17591,19791,22602,25258,28096,30846
175,6980,9625,12206,14851,17380,16696,22838,25369,27748,30342
175,7002,9629,12285,14871,17638,16884,22806,25502,28335,30989
175,6998,9621,12217,14878,17482,17585,22639,25370,27911,30501
175,7007,9611,12268,14881,17461,19884,22791,25427,27519,30576
175,7000,9642,12220,14911,17571,18237,22768,25234,28501,30758
175,7015,9623,12295,14831,17473,21639,22700,25450,27827,30522
175,6978,9624,12181,14874,17445,24144,22732,25355,28053,30623
175,7005,9625,12319,14876,17519,20041,22792,25373,28106,30678
175,7004,9625,12237,14874,17463,20094,22644,24809,27815,14048
175,7008,9625,12261,14875,17577,19571,22807,25963,23934,21560
167,6985,9626,12252,14878,17447,20754,22878,25355,28374,19734
175,7019,9624,12180,14873,17358,19966,22749,25332,31713,30824
175,7019,9625,12320,14890,17566,20226,22728,25398,28033,36174
175,6962,9626,12232,14869,17548,20089,22775,25425,27870,32495
175,7002,9624,12261,14872,17480,20247,22635,25257,28333,30668
175,6998,9625,12201,14872,17536,19999,22659,25367,27768,31891
175,6358,9625,12278,14871,17459,20251,22956,25417,28050,30717
176,7218,9627,12278,14884,17532,20099,22752,25372,27842,30635
174,7410,9624,12250,14861,17598,20039,22745,25354,28248,30553
175,6967,9624,12205,14882,17475,20237,22481,25565,27868,29960
175,7050,9626,12245,14873,17452,20125,22984,25038,28123,31266
