Run1,Run2,Run3
14267,14454,13981
14213,11091,14394
14148,13956,14418
13849,14494,14075
14030,13844,13985
13982,14681,14015
13821,14283,14340
13251,14348,14058
13492,14156,13830
13122,13090,12184
14155,3620,13945
10717,3619,14337
14114,14139,14247
14690,14341,14429
12874,14000,11081
14839,14236,14318
14309,13900,14049
9908,14428,14473
14201,13915,14558
13687,14319,13529
13833,14002,14385
14280,14761,14088
11016,14443,14321
7381,14002,14335
7403,14119,14685
11395,7226,14476
14384,2490,13938
8335,4984,14244
9087,5811,14351
11780,13612,12768
12744,14070,14257
13136,14340,14748
12946,14005,14137
8925,14243,14564
11445,14432,12563
13665,14371,14617
13733,13823,11731
13935,14738,1212
13956,12601,2813
13908,14699,2296
14064,14351,7804
13380,12855,8387
13792,14086,5744
13855,14623,10327
14328,14622,9274
14162,12871,11724
11610,13989,13225
14396,14261,13346
13990,14326,14654
14659,14584,16950
14517,14408,15770
14373,11837,17367
14076,14222,14595
14002,15281,14999
18656,14319,14527
17603,11191,13968
15339,10633,14481
15975,14418,14198
14628,14159,14185
14197,12159,14373
14390,15123,14398
15217,11763,14514
15067,14176,13613
14405,13456,14548
14237,14491,14573
14500,13383,13577
14942,14090,12543
14758,17652,14197
14738,16634,14866
14393,13542,13360
12838,13818,14025
14948,15383,14625
14311,14329,14546
14086,14217,14697
13986,14553,12582
13983,12971,13562
14031,13473,14210
14000,13415,14160
14347,14137,14013
14870,14548,14537
14167,13811,14637
14222,15995,14430
14825,11543,14361
14806,11417,13881
14256,9976,12736
14788,10823,4770
14589,6604,10068
15211,5772,14471
14552,7485,14486
14352,7567,5868
13896,9683,6221
14049,13878,5446
13534,13699,8406
14266,12997,14098
14207,12798,13762
12905,14530,13980
6695,14429,13916
6713,13980,14489
6742,13388,14629
7319,12837,12792
12041,14166,13836
13349,14282,14430
14046,14464,14240
14186,14532,14331
14050,13931,12530
12394,14376,13593
14150,13684,14136
13617,17358,14301
14432,11095,14062
14438,8038,13713
14058,14284,13952
13986,13539,13170
14141,13525,14203
14377,,14066
14371,,10082
13602,,10830
11466,,
10789,,
7450,,
9390,,
